Player,Club,League,Country,KP90,PrgP90,Final3rdP90,xA90,AccLB90,AccCr90,TotalPasses90,GPG,EPT,Avg. EPT,Avg.GPG,Creativity Volume by Passes,Icons_URL,Image_URL
Ousmane Dembélé,Paris Saint-Germain,Ligue 1,France,3.77,7.42,30.19,0.4,2.61,1.06,64.84,2.7,54.0,54.2,2.772,5.33,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Fepl%2Fplayers%2Fpsg-ousmane-dembele--lhjgxe1y.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:Ousmane_Demb%C3%A9l%C3%A9_2018_(cropped).jpg
Trent Alexander-Arnold,Real Madrid,La Liga,England,2.17,9.63,18.55,0.24,5.72,2.37,66.22,2.65,54.0,54.2,2.772,5.11,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Freal-madrid-trent-alexander-arnold--nkkpcg7o.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/5/5d/Trent_Alexander-Arnold_2018_%28cropped%29.jpg
Hakan Çalhanoğlu,Inter,Serie A,Turkey,2.24,10.3,19.87,0.19,3.55,1.8,75.92,2.6,54.5,54.2,2.772,4.27,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Fepl%2Fplayers%2Finter-hakan-calhanoglu--aaplji7-.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:AUT_vs._TUR_2016-03-29_(342).jpg
Bruno Fernandes,Manchester United,Premier League,Portugal,3.75,6.62,19.6,0.35,4.16,1.58,50.91,2.81,55.0,54.2,2.772,6.45,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fman-united-bruno-fernandes--dbqnypze.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Bruno_Fernandes_Portugal%2C_2018.jpg/500px-Bruno_Fernandes_Portugal%2C_2018.jpg
Vinicius Júnior,Real Madrid,La Liga,Brazil,2.25,5.51,18.51,0.17,1.23,0.33,37.1,2.65,54.0,54.2,2.772,3.72,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Freal-madrid-vinicius-junior--nnavobx-.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:2023_05_06_Final_de_la_Copa_del_Rey_-_52879242230_(cropped).jpg
Martin Ødegaard,Arsenal,Premier League,Norway,2.72,6.46,19.17,0.25,2.5,0.43,53.01,2.81,55.0,54.2,2.772,3.37,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Farsenal-martin-degaard--lwe38snr.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Norway_Italy_-_June_2025_E_04.jpg/500px-Norway_Italy_-_June_2025_E_04.jpg
Kevin De Bruyne,Napoli,Serie A,Belgium,2.62,5.66,18.31,0.25,2.34,0.81,56.27,2.6,54.5,54.2,2.772,3.09,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fnapoli-kevin-de-bruyne--6jpyqsgx.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Kevin_De_Bruyne_USMNT_v_Belgium_Mar_28_2026-64_%28cropped%29.jpg/500px-Kevin_De_Bruyne_USMNT_v_Belgium_Mar_28_2026-64_%28cropped%29.jpg
Harry Kane,FC Bayern München,Bundesliga,England,1.54,5.59,10.26,0.16,3.17,0.0,28.04,3.1,53.5,54.2,2.772,2.98,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Fepl%2Fplayers%2Fbayern-harry-kane--syw1lqf_.png&w=600&h=600&f=webp,"https://en.wikipedia.org/wiki/File:Harry_Kane_on_October_10,_2023.jpg"
Florian Wirtz,Liverpool,Premier League,Germany,2.31,5.46,22.17,0.2,1.52,0.2,53.71,2.81,55.0,54.2,2.772,2.83,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fliverpool-florian-wirtz--c8nqiqs9.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Florian_Wirtz_04012026_%283%29_%28extracted%29.jpg/500px-Florian_Wirtz_04012026_%283%29_%28extracted%29.jpg
Jude Bellingham,Real Madrid,La Liga,England,2.03,4.87,18.75,0.12,3.08,0.23,56.67,2.65,54.0,54.2,2.772,2.75,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Freal-madrid-jude-bellingham--veximzqq.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Jude_Bellingham_-_240422_190551-2_%28cropped%29.jpg/500px-25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Jude_Bellingham_-_240422_190551-2_%28cropped%29.jpg
Kylian Mbappé,Real Madrid,La Liga,France,2.36,3.46,17.98,0.23,1.16,0.22,34.34,2.65,54.0,54.2,2.772,2.69,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Freal-madrid-kylian-mbappe--odqrhi8g.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:Picture_with_Mbapp%C3%A9_(cropped_and_rotated).jpg
Bukayo Saka,Arsenal,Premier League,England,2.46,3.49,13.52,0.26,0.63,1.61,30.81,2.81,55.0,54.2,2.772,2.6,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Farsenal-bukayo-saka--x2wtfgwt.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:1_bukayo_saka_arsenal_2025_(cropped).jpg
Alejandro Grimaldo,Bayer 04 Leverkusen,Bundesliga,Spain,2.48,6.73,17.97,0.35,1.76,1.8,66.36,3.1,53.5,54.2,2.772,2.58,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Fepl%2Fplayers%2Fleverkusen-alex-grimaldo--ebqtruhw.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:Alex_Grimaldo_2020.png
Rodri,Manchester City,Premier League,Spain,1.45,7.24,20.3,0.16,5.44,0.06,96.77,2.81,55.0,54.2,2.772,2.41,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fman-city-rodri--ipaum2vy.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:RODRI_-_SWE_vs_ESP_-_UEFA_EURO_2020_QUALIFIERS_-_2019.10.15_(cropped).jpg
Cole Palmer,Chelsea,Premier League,England,1.29,4.44,13.95,0.12,1.91,0.22,37.83,2.81,55.0,54.2,2.772,2.27,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fchelsea-cole-palmer-min--vjd3irri.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:Cole_Palmer_2025_FIFA_Club_World_Cup_Final.jpg
Phil Foden,Manchester City,Premier League,England,2.28,3.57,15.38,0.2,1.89,1.7,51.62,2.81,55.0,54.2,2.772,2.09,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fman-city-phil-foden2025--tezuakle.png&w=600&h=600&f=webp,"https://en.wikipedia.org/wiki/File:2023-10-04_Fu%C3%9Fball,_M%C3%A4nner,_UEFA_Champions_League,_RB_Leipzig_-_Manchester_City_FC_1DX_2613,_Phil_Foden.jpg"
Rafael Leão,Milan,Serie A,Portugal,1.05,3.66,9.21,0.16,0.63,0.42,27.89,2.6,54.5,54.2,2.772,1.66,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Fepl%2Fplayers%2Fmilan-rafael-leao--jz_ckwwa.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:RafaelLe%C3%A3oPortugal23.jpg
Vitinha,Genoa,Serie A,Portugal,0.77,2.34,4.26,0.09,0.54,0.63,15.44,2.6,54.5,54.2,2.772,1.1,https://upload.wikimedia.org/wikipedia/commons/8/89/Portugal_national_football_team_0866_%28Vitinha%29.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Portugal_national_football_team_0866_%28Vitinha%29.jpg
