Player,Club,League,Country,KP90,PrgP90,Final3rdP90,xA90,AccLB90,AccCr90,TotalPasses90,GPG,EPT,Avg. EPT,Avg.GPG,Creativity Volume by Passes,Icons_URL,Image_URL
Bruno Fernandes,Manchester United,Premier League,Portugal,2.71,6.26,19.26,0.24,4.79,1.25,60.12,2.85,58.5,56.3,2.82,3.76,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fman-united-bruno-fernandes--dbqnypze.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Bruno_Fernandes_Portugal%2C_2018.jpg/500px-Bruno_Fernandes_Portugal%2C_2018.jpg
Bukayo Saka,Arsenal,Premier League,England,3.16,4.62,16.86,0.4,0.36,1.92,31.02,2.85,58.5,56.3,2.82,3.85,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Farsenal-bukayo-saka--x2wtfgwt.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:1_bukayo_saka_arsenal_2025_(cropped).jpg
Martin Ødegaard,Arsenal,Premier League,Norway,2.47,8.0,23.66,0.26,1.51,0.7,53.7,2.85,58.5,56.3,2.82,4.23,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Farsenal-martin-degaard--lwe38snr.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Norway_Italy_-_June_2025_E_04.jpg/500px-Norway_Italy_-_June_2025_E_04.jpg
İlkay Gündoğan,Manchester City,Premier League,Germany,1.77,7.69,20.63,0.18,2.09,0.48,65.59,2.85,58.5,56.3,2.82,2.95,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fman-city-ilkay-gu-ndogan-2024--p2f3sp6e.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:20180602_FIFA_Friendly_Match_Austria_vs._Germany_%C4%B0lkay_G%C3%BCndo%C4%9Fan_850_0728.jpg
Kylian Mbappé,Real Madrid,La Liga,France,1.61,3.35,17.69,0.2,1.39,0.19,33.78,2.6,55.5,56.3,2.82,2.74,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Freal-madrid-kylian-mbappe--odqrhi8g.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:Picture_with_Mbapp%C3%A9_(cropped_and_rotated).jpg
Cole Palmer,Chelsea,Premier League,England,2.56,4.8,14.23,0.26,2.62,0.99,36.9,2.85,58.5,56.3,2.82,3.26,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fchelsea-cole-palmer-min--vjd3irri.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:Cole_Palmer_2025_FIFA_Club_World_Cup_Final.jpg
Kevin De Bruyne,Manchester City,Premier League,Belgium,3.04,7.85,24.82,0.35,1.89,1.99,53.95,2.85,58.5,56.3,2.82,5.14,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fnapoli-kevin-de-bruyne--6jpyqsgx.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Kevin_De_Bruyne_USMNT_v_Belgium_Mar_28_2026-64_%28cropped%29.jpg/500px-Kevin_De_Bruyne_USMNT_v_Belgium_Mar_28_2026-64_%28cropped%29.jpg
Trent Alexander-Arnold,Liverpool,Premier League,England,2.12,8.25,17.8,0.28,4.77,1.48,61.19,2.85,58.5,56.3,2.82,3.97,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Freal-madrid-trent-alexander-arnold--nkkpcg7o.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/5/5d/Trent_Alexander-Arnold_2018_%28cropped%29.jpg
Phil Foden,Manchester City,Premier League,England,2.17,4.49,18.3,0.27,1.71,1.56,42.96,2.85,58.5,56.3,2.82,3.11,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fman-city-phil-foden2025--tezuakle.png&w=600&h=600&f=webp,"https://en.wikipedia.org/wiki/File:2023-10-04_Fu%C3%9Fball,_M%C3%A4nner,_UEFA_Champions_League,_RB_Leipzig_-_Manchester_City_FC_1DX_2613,_Phil_Foden.jpg"
Rodri,Manchester City,Premier League,Spain,1.13,8.87,25.88,0.1,5.63,0.0,76.5,2.85,58.5,56.3,2.82,4.2,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fman-city-rodri--ipaum2vy.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:RODRI_-_SWE_vs_ESP_-_UEFA_EURO_2020_QUALIFIERS_-_2019.10.15_(cropped).jpg
Jude Bellingham,Real Madrid,La Liga,England,1.52,4.73,17.65,0.16,2.42,0.04,54.45,2.6,55.5,56.3,2.82,2.45,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Freal-madrid-jude-bellingham--veximzqq.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Jude_Bellingham_-_240422_190551-2_%28cropped%29.jpg/500px-25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Jude_Bellingham_-_240422_190551-2_%28cropped%29.jpg
Vinicius Júnior,Real Madrid,La Liga,Brazil,2.35,4.97,15.27,0.28,1.6,0.44,32.9,2.6,55.5,56.3,2.82,3.73,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Freal-madrid-vinicius-junior--nnavobx-.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:2023_05_06_Final_de_la_Copa_del_Rey_-_52879242230_(cropped).jpg
Harry Kane,FC Bayern München,Bundesliga,England,1.32,4.97,9.04,0.21,1.54,0.15,23.24,3.2,56.5,56.3,2.82,2.37,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Fepl%2Fplayers%2Fbayern-harry-kane--syw1lqf_.png&w=600&h=600&f=webp,"https://en.wikipedia.org/wiki/File:Harry_Kane_on_October_10,_2023.jpg"
Florian Wirtz,Bayer 04 Leverkusen,Bundesliga,Germany,2.18,6.53,24.92,0.36,1.3,0.54,60.76,3.2,56.5,56.3,2.82,2.93,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Ffc%2Fplayers%2Fliverpool-florian-wirtz--c8nqiqs9.png&w=600&h=600&f=webp,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Florian_Wirtz_04012026_%283%29_%28extracted%29.jpg/500px-Florian_Wirtz_04012026_%283%29_%28extracted%29.jpg
Alejandro Grimaldo,Bayer 04 Leverkusen,Bundesliga,Spain,2.49,7.16,19.38,0.29,1.53,2.38,58.81,3.2,56.5,56.3,2.82,3.22,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Fepl%2Fplayers%2Fleverkusen-alex-grimaldo--ebqtruhw.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:Alex_Grimaldo_2020.png
Hakan Çalhanoğlu,Inter,Serie A,Turkey,2.29,9.54,17.35,0.26,4.41,2.43,71.64,2.65,55.0,56.3,2.82,4.33,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Fepl%2Fplayers%2Finter-hakan-calhanoglu--aaplji7-.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:AUT_vs._TUR_2016-03-29_(342).jpg
Rafael Leão,Milan,Serie A,Portugal,2.24,3.98,9.73,0.24,0.97,0.66,29.78,2.65,55.0,56.3,2.82,2.26,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Fepl%2Fplayers%2Fmilan-rafael-leao--jz_ckwwa.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:RafaelLe%C3%A3oPortugal23.jpg
Vitinha,Genoa,Serie A,Portugal,1.08,2.22,4.04,0.14,0.47,0.81,18.04,2.65,55.0,56.3,2.82,1.0,https://upload.wikimedia.org/wikipedia/commons/8/89/Portugal_national_football_team_0866_%28Vitinha%29.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Portugal_national_football_team_0866_%28Vitinha%29.jpg
Ousmane Dembélé,Paris Saint-Germain,Ligue 1,France,3.27,5.88,23.59,0.37,1.81,1.45,50.65,2.8,56.0,56.3,2.82,4.38,https://www.statmuse.com/_image?href=https%3A%2F%2Fcdn.statmuse.com%2Fimg%2Fepl%2Fplayers%2Fpsg-ousmane-dembele--lhjgxe1y.png&w=600&h=600&f=webp,https://en.wikipedia.org/wiki/File:Ousmane_Demb%C3%A9l%C3%A9_2018_(cropped).jpg
